record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,fuel_surcharge_inr,udf_psf_inr,gst_inr,convenience_fee_inr,taxes_fees_inr,is_nonstop,stops_count,stop_info,raw_hash
SCR_GF_1789146142_001,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 310,4:30 PM,6:50 PM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,ccb7bc06a9f4
SCR_GF_1789146142_002,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 337,6:00 PM,8:15 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,5fd32ca49f2e
SCR_GF_1789146142_003,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 364,4:00 PM,6:20 PM,140,2 hr 20 min,Economy,6880.0,3995.81,1880.38,710.0,293.81,0.0,2884.19,True,0,Non-Stop,496b3f6142ed
SCR_GF_1789146142_004,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 391,11:00 PM,1:25 AM,145,2 hr 25 min,Economy,6314.0,3629.26,1707.88,710.0,266.86,0.0,2684.74,True,0,Non-Stop,a982fdd26790
SCR_GF_1789146142_005,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 418,6:30 AM,8:50 AM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,cf2fbbe30ecf
SCR_GF_1789146142_006,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 445,7:00 AM,9:25 AM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,4e47bcafc06a
SCR_GF_1789146142_007,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 472,7:30 AM,9:55 AM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,4a1622b1f62c
SCR_GF_1789146142_008,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 499,8:55 AM,11:10 AM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,8f158f753253
SCR_GF_1789146142_009,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 526,9:30 AM,12:00 PM,150,2 hr 30 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,268846b8e963
SCR_GF_1789146142_010,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 553,2:00 PM,4:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,ae643b29b28e
SCR_GF_1789146142_011,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 580,2:45 PM,5:00 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,4880d7b44546
SCR_GF_1789146142_012,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 607,3:30 PM,5:45 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,f2def2361127
SCR_GF_1789146142_013,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 634,3:30 PM,5:55 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,73d2cffa1e3c
SCR_GF_1789146142_014,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 661,4:00 PM,6:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,cb4aa564e352
SCR_GF_1789146142_015,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 688,4:15 PM,6:35 PM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,02c1c0d6ee06
SCR_GF_1789146142_016,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 715,5:00 PM,7:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,8d8d3b5156a7
SCR_GF_1789146142_017,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 742,6:00 PM,8:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,fae17dc22302
SCR_GF_1789146142_018,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 769,7:00 PM,9:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,0db3df60d5bf
SCR_GF_1789146142_019,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 796,7:30 PM,9:55 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,f994762de635
SCR_GF_1789146142_020,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 823,9:30 PM,11:55 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,2340a46ed2e1
SCR_GF_1789146142_021,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 850,9:45 PM,12:05 AM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,4a114a7b5368
SCR_GF_1789146142_022,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 877,10:45 PM,1:05 AM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,2caa70b812b5
SCR_GF_1789146142_023,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 904,11:30 PM,1:45 AM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,65b6b4b108e0
SCR_GF_1789146142_024,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 931,9:00 AM,11:15 AM,135,2 hr 15 min,Economy,6582.0,3802.82,1789.56,710.0,279.62,0.0,2779.18,True,0,Non-Stop,c13f90896df0
SCR_GF_1789146142_025,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 958,10:00 AM,12:25 PM,145,2 hr 25 min,Economy,6582.0,3802.82,1789.56,710.0,279.62,0.0,2779.18,True,0,Non-Stop,15ddf1b991e7
SCR_GF_1789146142_026,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 985,8:30 PM,11:05 PM,155,2 hr 35 min,Economy,6582.0,3802.82,1789.56,710.0,279.62,0.0,2779.18,True,0,Non-Stop,dd31a431e449
SCR_GF_1789146142_027,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 332,9:00 PM,11:20 PM,140,2 hr 20 min,Economy,6582.0,3802.82,1789.56,710.0,279.62,0.0,2779.18,True,0,Non-Stop,ea86dc978a6f
SCR_GF_1789146142_028,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 359,7:15 AM,9:30 AM,135,2 hr 15 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,3e0ca774fbd6
SCR_GF_1789146143_029,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 386,8:00 AM,10:20 AM,140,2 hr 20 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,dbde69777842
SCR_GF_1789146143_030,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 413,8:45 AM,11:00 AM,135,2 hr 15 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,0a46ca9b1403
SCR_GF_1789146143_031,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 440,1:00 PM,3:10 PM,130,2 hr 10 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,b114b6879139
SCR_GF_1789146143_032,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 467,5:00 PM,7:15 PM,135,2 hr 15 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,1f60c2dfcb36
SCR_GF_1789146143_033,2026-09-11 22:32:14,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 494,7:00 PM,9:25 PM,145,2 hr 25 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,23246f2f5571
