record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,fuel_surcharge_inr,udf_psf_inr,gst_inr,convenience_fee_inr,taxes_fees_inr,is_nonstop,stops_count,stop_info,raw_hash
SCR_GF_1789272786_085,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),8:45,11:00,135,2 hr 15 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,7ed4e2103fe3
SCR_GF_1789272786_086,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),9:45,12:05,140,2 hr 20 min,Economy,6583.0,3803.47,1789.86,710.0,279.67,0.0,2779.53,True,0,Non-Stop,dbdd7785fe2f
SCR_GF_1789272787_087,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),11:25,1:50,145,2 hr 25 min,Economy,6779.0,3930.4,1849.6,710.0,289.0,0.0,2848.6,True,0,Non-Stop,9504e6864fbd
SCR_GF_1789272787_088,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),11:00,1:25,145,2 hr 25 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,670fa1d2eb66
SCR_GF_1789272787_089,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),1:30,3:50,140,2 hr 20 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,dcea59adad1b
SCR_GF_1789272787_090,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),7:30,9:55,145,2 hr 25 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,291b3196920b
SCR_GF_1789272787_091,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),8:00,10:25,145,2 hr 25 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,2a8a441142fa
SCR_GF_1789272787_092,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),9:00,11:20,140,2 hr 20 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,9ddb87f34c50
SCR_GF_1789272787_093,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),9:30,11:55,145,2 hr 25 min,Economy,6792.0,3938.82,1853.56,710.0,289.62,0.0,2853.18,True,0,Non-Stop,3b679452dd2c
SCR_GF_1789272787_094,2026-09-13 09:42:52,2026-09-14,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E (Direct),3:30,5:45,135,2 hr 15 min,Economy,6793.0,3939.47,1853.86,710.0,289.67,0.0,2853.53,True,0,Non-Stop,2c06dacd5965
