record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1789021349_021,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 540,7:00 AM,9:25 AM,145,2 hr 25 min,Economy,6740.0,,,True,92d4babe7e96
SCR_GF_1789021349_022,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 557,8:30 AM,10:45 AM,135,2 hr 15 min,Economy,6740.0,,,True,56fe9046deb5
SCR_GF_1789021349_023,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 574,5:35 AM,8:05 AM,150,2 hr 30 min,Economy,6779.0,,,True,4204e2b5c3f9
SCR_GF_1789021349_024,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 591,7:15 AM,9:30 AM,135,2 hr 15 min,Economy,6793.0,,,True,ff45ef2ad3de
SCR_GF_1789021349_025,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 608,1:00 PM,3:10 PM,130,2 hr 10 min,Economy,6793.0,,,True,aa512ab3560a
SCR_GF_1789021349_026,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 625,3:30 PM,5:45 PM,135,2 hr 15 min,Economy,6793.0,,,True,cbc81e97e80b
SCR_GF_1789021349_027,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 642,6:50 AM,9:10 AM,140,2 hr 20 min,Economy,6880.0,,,True,b85363c250af
SCR_GF_1789021349_028,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 659,8:40 AM,11:05 AM,145,2 hr 25 min,Economy,6880.0,,,True,7c5a500d0887
SCR_GF_1789021349_029,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 676,12:30 PM,2:55 PM,145,2 hr 25 min,Economy,6880.0,,,True,6516652f9afb
SCR_GF_1789021349_030,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 693,3:30 PM,5:55 PM,145,2 hr 25 min,Economy,6950.0,,,True,297a63beb38c
SCR_GF_1789021349_031,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 710,4:00 PM,6:25 PM,145,2 hr 25 min,Economy,6950.0,,,True,a47d3571e5a1
SCR_GF_1789021349_032,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 727,4:15 PM,6:35 PM,140,2 hr 20 min,Economy,7055.0,,,True,cd4896627e3d
SCR_GF_1789021349_033,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 744,1:30 PM,3:50 PM,140,2 hr 20 min,Economy,7527.0,,,True,f4a2f2d8e446
SCR_GF_1789021349_034,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 761,4:00 PM,6:20 PM,140,2 hr 20 min,Economy,8419.0,,,True,2d2ed794793f
SCR_GF_1789021349_035,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 778,4:30 PM,6:50 PM,140,2 hr 20 min,Economy,9569.0,,,True,2dd878f62780
SCR_GF_1789021349_036,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 795,5:00 PM,7:15 PM,135,2 hr 15 min,Economy,9628.0,,,True,ab3c6114f550
SCR_GF_1789021349_037,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 812,5:00 PM,7:25 PM,145,2 hr 25 min,Economy,9968.0,,,True,2f7d4e9e2297
SCR_GF_1789021349_038,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 829,6:00 PM,8:15 PM,135,2 hr 15 min,Economy,13513.0,,,True,f090071cf40f
SCR_GF_1789021350_039,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 846,8:00 PM,10:10 PM,130,2 hr 10 min,Economy,13513.0,,,True,1624fbf123b6
SCR_GF_1789021350_040,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 863,8:45 PM,11:00 PM,135,2 hr 15 min,Economy,13513.0,,,True,c1cf038ea00c
SCR_GF_1789021350_041,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 880,9:45 PM,12:05 AM,140,2 hr 20 min,Economy,13513.0,,,True,a86007f56c1d
SCR_GF_1789021350_042,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 897,10:45 PM,1:05 AM,140,2 hr 20 min,Economy,13513.0,,,True,94a1f8ae9025
SCR_GF_1789021350_043,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 914,11:30 PM,1:45 AM,135,2 hr 15 min,Economy,13513.0,,,True,faaa5bb8f446
SCR_GF_1789021350_044,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 931,7:55 PM,10:20 PM,145,2 hr 25 min,Economy,13544.0,,,True,466bc328f430
SCR_GF_1789021350_045,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 948,5:30 PM,7:45 PM,135,2 hr 15 min,Economy,14787.0,,,True,79ebc92144d8
SCR_GF_1789021350_046,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 965,7:00 PM,9:25 PM,145,2 hr 25 min,Economy,15088.0,,,True,d82bddb87797
SCR_GF_1789021350_047,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 982,9:00 PM,11:20 PM,140,2 hr 20 min,Economy,16583.0,,,True,752a05bd63f1
SCR_GF_1789021350_048,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 999,9:30 PM,11:55 PM,145,2 hr 25 min,Economy,16583.0,,,True,5fd325e61d3b
SCR_GF_1789021350_049,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 216,11:00 PM,1:25 AM,145,2 hr 25 min,Economy,16583.0,,,True,e9f374c26c14
SCR_GF_1789021350_050,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 233,11:25 PM,1:50 AM,145,2 hr 25 min,Economy,16844.0,,,True,856e16b6dbff
SCR_GF_1789021350_051,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 250,6:00 PM,8:25 PM,145,2 hr 25 min,Economy,17350.0,,,True,b8b5642cb97b
SCR_GF_1789021350_052,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 267,8:30 PM,11:05 PM,155,2 hr 35 min,Economy,23844.0,,,True,7b13a79ca29f
SCR_GF_1789021350_053,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 284,7:30 PM,9:55 PM,145,2 hr 25 min,Economy,24747.0,,,True,14ab41436d62
SCR_GF_1789021350_054,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 301,7:00 PM,9:25 PM,145,2 hr 25 min,Economy,24973.0,,,True,df595c880596
SCR_GF_1789021350_055,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 318,2:45,5:00,135,2 hr 15 min,Economy,6425.0,,,True,7cb8ac535b6d
SCR_GF_1789021350_056,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 335,2:10,4:30,140,2 hr 20 min,Economy,6582.0,,,True,e07c8425ac6c
SCR_GF_1789021350_057,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 352,10:30,12:45,135,2 hr 15 min,Economy,6880.0,,,True,c6cad22cc650
SCR_GF_1789021350_058,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 369,9:00,1:45,285,4 hr 45 min,Economy,6117.0,,,False,1415c44a25ac
SCR_GF_1789021350_059,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 386,5:00,7:20,140,2 hr 20 min,Economy,6314.0,,,True,6085cce82e1c
SCR_GF_1789021350_060,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 403,5:00,7:15,135,2 hr 15 min,Economy,6425.0,,,True,f6776b970986
SCR_GF_1789021350_061,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 420,6:05,8:20,135,2 hr 15 min,Economy,6425.0,,,True,10d21f1b988a
SCR_GF_1789021350_062,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 437,8:45,11:00,135,2 hr 15 min,Economy,6425.0,,,True,f79736967f2e
SCR_GF_1789021350_063,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 454,9:30,11:55,145,2 hr 25 min,Economy,6425.0,,,True,bb77c629cf2a
SCR_GF_1789021350_064,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 471,10:15,12:35,140,2 hr 20 min,Economy,6425.0,,,True,2d3827f1c43c
SCR_GF_1789021350_065,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 488,2:00,4:25,145,2 hr 25 min,Economy,6425.0,,,True,93cc26c6c67e
SCR_GF_1789021350_066,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 505,7:30,9:55,145,2 hr 25 min,Economy,6582.0,,,True,23bac23ff867
SCR_GF_1789021350_067,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 522,9:30,12:00,150,2 hr 30 min,Economy,6582.0,,,True,2cb5221e28f9
SCR_GF_1789021350_068,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 539,10:00,12:25,145,2 hr 25 min,Economy,6582.0,,,True,d3007d07cbce
SCR_GF_1789021350_069,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 556,11:00,1:25,145,2 hr 25 min,Economy,6582.0,,,True,20e9f095d641
SCR_GF_1789021350_070,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 573,12:00,2:25,145,2 hr 25 min,Economy,6582.0,,,True,803d717c2f2b
SCR_GF_1789021350_071,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 590,8:00,10:20,140,2 hr 20 min,Economy,6583.0,,,True,7aead454ce74
SCR_GF_1789021350_072,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 607,11:00,1:15,135,2 hr 15 min,Economy,6583.0,,,True,257a9f37fc3e
SCR_GF_1789021350_073,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 624,12:00,2:15,135,2 hr 15 min,Economy,6583.0,,,True,cce1050eaac6
SCR_GF_1789021350_074,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 641,6:30,8:50,140,2 hr 20 min,Economy,6740.0,,,True,78c5d6a72a52
SCR_GF_1789021350_075,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 658,7:00,9:25,145,2 hr 25 min,Economy,6740.0,,,True,ba8616fce79c
SCR_GF_1789021350_076,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 675,8:30,10:45,135,2 hr 15 min,Economy,6740.0,,,True,352630f1bec7
SCR_GF_1789021350_077,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 692,5:35,8:05,150,2 hr 30 min,Economy,6779.0,,,True,7c7128d810ba
SCR_GF_1789021350_078,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 709,7:15,9:30,135,2 hr 15 min,Economy,6793.0,,,True,828fb4a51613
SCR_GF_1789021350_079,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 726,1:00,3:10,130,2 hr 10 min,Economy,6793.0,,,True,88e286b68119
SCR_GF_1789021350_080,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 743,3:30,5:45,135,2 hr 15 min,Economy,6793.0,,,True,b2f1c8394a9f
SCR_GF_1789021350_081,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 760,6:50,9:10,140,2 hr 20 min,Economy,6880.0,,,True,addd93c72eb3
SCR_GF_1789021350_082,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 777,8:40,11:05,145,2 hr 25 min,Economy,6880.0,,,True,c5faaf22628f
SCR_GF_1789021350_083,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 794,12:30,2:55,145,2 hr 25 min,Economy,6880.0,,,True,ad1af8377c34
SCR_GF_1789021350_084,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 811,3:30,5:55,145,2 hr 25 min,Economy,6950.0,,,True,2a949caaeb3c
SCR_GF_1789021350_085,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 828,4:00,6:25,145,2 hr 25 min,Economy,6950.0,,,True,34a2d88e8ede
SCR_GF_1789021350_086,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 845,4:15,6:35,140,2 hr 20 min,Economy,7055.0,,,True,80f71e36d9b2
SCR_GF_1789021350_087,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 862,1:30,3:50,140,2 hr 20 min,Economy,7527.0,,,True,89570d9b9601
SCR_GF_1789021350_088,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 879,4:00,6:20,140,2 hr 20 min,Economy,8419.0,,,True,8039dc6e87fe
SCR_GF_1789021350_089,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 896,4:30,6:50,140,2 hr 20 min,Economy,9569.0,,,True,3fa1cdac41d8
SCR_GF_1789021350_090,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 913,5:00,7:15,135,2 hr 15 min,Economy,9628.0,,,True,27efbbacc19b
SCR_GF_1789021350_091,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 930,5:00,7:25,145,2 hr 25 min,Economy,9968.0,,,True,04c11c9c4475
SCR_GF_1789021350_092,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 947,6:00,8:15,135,2 hr 15 min,Economy,13513.0,,,True,7131ba8b136b
SCR_GF_1789021350_093,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 964,8:00,10:10,130,2 hr 10 min,Economy,13513.0,,,True,188d0c18a263
SCR_GF_1789021350_094,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 981,8:45,11:00,135,2 hr 15 min,Economy,13513.0,,,True,b3ed4abfcc2f
SCR_GF_1789021350_095,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 998,9:45,12:05,140,2 hr 20 min,Economy,13513.0,,,True,67084f4d2eef
SCR_GF_1789021350_096,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 215,10:45,1:05,140,2 hr 20 min,Economy,13513.0,,,True,2fe251804b8a
SCR_GF_1789021350_097,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 232,11:30,1:45,135,2 hr 15 min,Economy,13513.0,,,True,9a87e70a3735
SCR_GF_1789021350_098,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 249,7:55,10:20,145,2 hr 25 min,Economy,13544.0,,,True,19412360c8ae
SCR_GF_1789021350_099,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 266,5:30,7:45,135,2 hr 15 min,Economy,14787.0,,,True,3a101f80ec93
