record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055783_011,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,6:30 AM,8:50 AM,140,2 hr 20 min,Economy,6582.0,,,True,Non-stop,431f4c2580ef
SCR_GF_1789055783_012,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,8:30 AM,10:45 AM,135,2 hr 15 min,Economy,6582.0,,,True,Non-stop,3ee6e0156750
SCR_GF_1789055783_013,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,9:30 AM,12:00 PM,150,2 hr 30 min,Economy,6582.0,,,True,Non-stop,9a21358f8cdb
SCR_GF_1789055783_014,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,10:00 AM,12:25 PM,145,2 hr 25 min,Economy,6582.0,,,True,Non-stop,27c9f077794b
SCR_GF_1789055783_015,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,12:00 PM,2:25 PM,145,2 hr 25 min,Economy,6582.0,,,True,Non-stop,657dd2e1d3ef
SCR_GF_1789055783_016,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:45 AM,11:00 AM,135,2 hr 15 min,Economy,6583.0,,,True,Non-stop,11d89f5006ab
SCR_GF_1789055783_017,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,11:00 AM,1:15 PM,135,2 hr 15 min,Economy,6583.0,,,True,Non-stop,1f6774ef221f
SCR_GF_1789055784_018,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,12:00 PM,2:15 PM,135,2 hr 15 min,Economy,6583.0,,,True,Non-stop,8fb82f83d9dd
SCR_GF_1789055784_019,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,1:00,3:10,130,2 hr 10 min,Economy,6583.0,,,True,Non-stop,8d3fb5bb1b77
SCR_GF_1789055784_020,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,2:00,4:25,145,2 hr 25 min,Economy,6583.0,,,True,Non-stop,ffaa8018c8b2
SCR_GF_1789055784_021,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,2:45,5:00,135,2 hr 15 min,Economy,6583.0,,,True,Non-stop,b4ac40ee989b
SCR_GF_1789055784_022,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,7:00,9:25,145,2 hr 25 min,Economy,6740.0,,,True,Non-stop,ede5aa0bbb74
SCR_GF_1789055784_023,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,7:30,9:55,145,2 hr 25 min,Economy,6740.0,,,True,Non-stop,793b6cb2dc88
SCR_GF_1789055784_024,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,11:00,1:25,145,2 hr 25 min,Economy,6740.0,,,True,Non-stop,ce54ba4216fe
SCR_GF_1789055784_025,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,6:50,9:10,140,2 hr 20 min,Economy,6880.0,,,True,Non-stop,c8b9a15d366f
SCR_GF_1789055784_026,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,8:40,11:05,145,2 hr 25 min,Economy,6880.0,,,True,Non-stop,c43076aeab11
SCR_GF_1789055784_027,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,12:30,2:55,145,2 hr 25 min,Economy,6880.0,,,True,Non-stop,83dc149d7a4b
SCR_GF_1789055785_028,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,3:30,5:45,135,2 hr 15 min,Economy,7055.0,,,True,Non-stop,590cbb46566d
SCR_GF_1789055785_029,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,4:00,6:20,140,2 hr 20 min,Economy,10235.0,,,True,Non-stop,ffad45e37d4d
SCR_GF_1789055785_030,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,7:55,10:20,145,2 hr 25 min,Economy,11200.0,,,True,Non-stop,cb610cf65724
SCR_GF_1789055785_031,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,7:00,9:25,145,2 hr 25 min,Economy,11203.0,,,True,Non-stop,385ec1621598
SCR_GF_1789055785_032,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,10:45,1:05 AM,140,2 hr 20 min,Economy,11203.0,,,True,Non-stop,a34e271fc91a
SCR_GF_1789055785_033,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,11:30,1:45 AM,135,2 hr 15 min,Economy,11203.0,,,True,Non-stop,9942eb1dc35a
SCR_GF_1789055785_034,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,5:30,7:45,135,2 hr 15 min,Economy,12044.0,,,True,Non-stop,da3a9bc72ff6
SCR_GF_1789055785_035,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:45,11:00,135,2 hr 15 min,Economy,12253.0,,,True,Non-stop,262acf756e88
SCR_GF_1789055785_036,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,9:45,12:05 AM,140,2 hr 20 min,Economy,12253.0,,,True,Non-stop,bcda5caef446
SCR_GF_1789055785_037,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:00,10:10,130,2 hr 10 min,Economy,13513.0,,,True,Non-stop,188d0c18a263
SCR_GF_1789055785_038,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,5:00,7:15,135,2 hr 15 min,Economy,15088.0,,,True,Non-stop,35ea16a52c2a
SCR_GF_1789055785_039,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,6:00,8:15,135,2 hr 15 min,Economy,15088.0,,,True,Non-stop,9c1557c97396
SCR_GF_1789055785_040,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,9:00,11:20,140,2 hr 20 min,Economy,16583.0,,,True,Non-stop,2be17bf6f1f4
SCR_GF_1789055785_041,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,9:30,11:55,145,2 hr 25 min,Economy,16583.0,,,True,Non-stop,1c5d4526f9b8
SCR_GF_1789055785_042,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,11:00,1:25 AM,145,2 hr 25 min,Economy,16583.0,,,True,Non-stop,aa6f10b22e2b
SCR_GF_1789055785_043,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India Express,Air India Express,,11:25,1:50 AM,145,2 hr 25 min,Economy,16844.0,,,True,Non-stop,c0cfeb81cf05
SCR_GF_1789055785_044,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,6:00,8:25,145,2 hr 25 min,Economy,17350.0,,,True,Non-stop,6966661bafac
SCR_GF_1789055785_045,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,SpiceJet,SpiceJet,,7:55,10:30,155,2 hr 35 min,Economy,19603.0,,,True,Non-stop,eeabba7be770
SCR_GF_1789055785_046,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,4:30,6:50,140,2 hr 20 min,Economy,23844.0,,,True,Non-stop,e86191eb53d5
SCR_GF_1789055785_047,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,5:00,7:25,145,2 hr 25 min,Economy,23844.0,,,True,Non-stop,530e623e30c5
SCR_GF_1789055785_048,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,7:30,9:55,145,2 hr 25 min,Economy,24747.0,,,True,Non-stop,7a3b51202000
SCR_GF_1789055785_049,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,1:30,3:50,140,2 hr 20 min,Economy,33304.0,,,True,Non-stop,3af7cb9d44f9
SCR_GF_1789055785_050,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,5:00,7:20,140,2 hr 20 min,Economy,6314.0,,,True,Non-stop,4033e9a72f97
SCR_GF_1789055785_051,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,10:15,12:35,140,2 hr 20 min,Economy,6425.0,,,True,Non-stop,2d3827f1c43c
SCR_GF_1789055785_052,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India Express,Air India Express,,5:35,8:05,150,2 hr 30 min,Economy,6610.0,,,True,Non-stop,468806699194
SCR_GF_1789055785_053,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,10:30,12:45,135,2 hr 15 min,Economy,6880.0,,,True,Non-stop,242ee1eff65b
SCR_GF_1789055785_054,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:15,1:30,315,5 hr 15 min,Economy,6195.0,,,False,1 stop,69a0bec4e299
SCR_GF_1789055785_055,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,9:00,1:50,290,4 hr 50 min,Economy,6195.0,,,False,1 stop,f93b453fbcb7
