record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1788934444_001,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,Air India,Air India,,5:10 AM,6:30 AM,80,1 hr 20 min,Economy,10098.0,,,True,c4a0998ea443
SCR_GF_1788934444_002,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,IndiGo,IndiGo,,5:00 AM,6:05 AM,65,1 hr 5 min,Economy,11022.0,,,True,874740b97503
SCR_GF_1788934444_003,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,Air India,Air India,,12:25 PM,1:45 PM,80,1 hr 20 min,Economy,14658.0,,,True,eb946ee1acb7
SCR_GF_1788934444_004,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,IndiGo,IndiGo,,10:10 PM,11:30 PM,80,1 hr 20 min,Economy,12807.0,,,True,d841778b3b18
SCR_GF_1788934444_005,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,Air India,Air India,,4:30 PM,5:50 PM,80,1 hr 20 min,Economy,14658.0,,,True,e6984802d2f9
SCR_GF_1788934444_006,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,IndiGo,IndiGo,,4:40 PM,6:05 PM,85,1 hr 25 min,Economy,15012.0,,,True,8f0a1cf2f676
SCR_GF_1788934444_007,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,Air India,Air India,,7:20 PM,8:50 PM,90,1 hr 30 min,Economy,18555.0,,,True,fb423f770364
SCR_GF_1788934444_008,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,Air India,Air India,,1:05 PM,2:20 PM,75,1 hr 15 min,Economy,49873.0,,,True,37d924889ed4
SCR_GF_1788934444_009,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,IndiGo,IndiGo,,00:00,00:00,80,1 hr 20 min,Economy,10098.0,,,True,a5c7274639d1
SCR_GF_1788934444_010,2026-09-09 11:43:59,2026-09-10,1,google_flights,BOM,GOI,BOM-GOI,BOM,GOI,IndiGo,IndiGo,,00:00,00:00,65,1 hr 5 min,Economy,11022.0,,,True,b98c25cb8499
