record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1788934530_001,2026-09-09 11:45:24,2026-09-10,1,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,9:50 AM,12:15 PM,145.0,2 hr 25 min,Economy,9340.0,,,True,7ebc8e50032f
SCR_GF_1788934530_002,2026-09-09 11:45:24,2026-09-10,1,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,11:45 AM,9:35 PM,590.0,9 hr 50 min,Economy,17224.0,,,False,33f14779267f
SCR_GF_1788934530_004,2026-09-09 11:45:24,2026-09-10,1,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,9340.0,,,True,511a6837a608
SCR_GF_1788934530_005,2026-09-09 11:45:24,2026-09-10,1,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,590.0,9 hr 50 min,Economy,17224.0,,,False,4c7f758d3192
SCR_GF_1788934535_001,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,10:15 AM,8:05 PM,590.0,9 hr 50 min,Economy,15787.0,,,False,2630e7453726
SCR_GF_1788934535_002,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,10:15 AM,7:05 PM,530.0,8 hr 50 min,Economy,16376.0,,,False,dca83ce2d4f8
SCR_GF_1788934535_003,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,10:15 AM,3:50 PM,335.0,5 hr 35 min,Economy,17742.0,,,False,4238b0b544ae
SCR_GF_1788934535_005,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,590.0,9 hr 50 min,Economy,15787.0,,,False,b451dbea497c
SCR_GF_1788934535_006,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,530.0,8 hr 50 min,Economy,16376.0,,,False,43454da64403
SCR_GF_1788934535_007,2026-09-09 11:45:30,2026-09-16,7,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,335.0,5 hr 35 min,Economy,17742.0,,,False,19b9a3f87527
SCR_GF_1788934541_001,2026-09-09 11:45:35,2026-09-24,15,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,9:50 AM,12:15 PM,145.0,2 hr 25 min,Economy,9340.0,,,True,65c324d4c416
SCR_GF_1788934541_002,2026-09-09 11:45:35,2026-09-24,15,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,11:45 AM,9:35 PM,590.0,9 hr 50 min,Economy,14914.0,,,False,b4ec90c56632
SCR_GF_1788934541_004,2026-09-09 11:45:35,2026-09-24,15,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,9340.0,,,True,98dec03d5132
SCR_GF_1788934541_005,2026-09-09 11:45:35,2026-09-24,15,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,590.0,9 hr 50 min,Economy,14914.0,,,False,c6ef345f9eef
SCR_GF_1788934547_001,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,9:50 AM,12:15 PM,145.0,2 hr 25 min,Economy,9491.0,,,True,7838545921c9
SCR_GF_1788934547_002,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,10:15 AM,3:50 PM,335.0,5 hr 35 min,Economy,11625.0,,,False,7d399229aac6
SCR_GF_1788934547_003,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,11:45 AM,9:35 PM,590.0,9 hr 50 min,Economy,18790.0,,,False,1676ac0fe3a5
SCR_GF_1788934547_005,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,9491.0,,,True,528a875f32c6
SCR_GF_1788934547_006,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,335.0,5 hr 35 min,Economy,11625.0,,,False,690cb246a632
SCR_GF_1788934547_007,2026-09-09 11:45:41,2026-10-09,30,google_flights,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,590.0,9 hr 50 min,Economy,18790.0,,,False,a57780d94012
SCR_EAS_1788934568_001,2026-09-09 11:46:04,2026-09-10,1,easemytrip,UDR,BLR,UDR-BLR,UDR,BLR,IndiGo,IndiGo,,00:00,00:00,,,Economy,9098.0,,,False,c04f6f5ed5d0
