record_id,source_file,dataset_tier,travel_date,airline_standardized,airline_raw,flight_number,origin_iata,dest_iata,route,origin_raw,dest_raw,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,search_timestamp,lead_time_days,is_defunct_carrier
REC_005426,Data_Train.csv,2019_historical_precovid,2019-06-27,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,06:00,,,,Economy,6478.0,,,,,True
REC_005427,Data_Train.csv,2019_historical_precovid,2019-03-03,Vistara,Vistara,,BLR,DEL,BLR-DEL,Banglore,New Delhi,19:40,,,,Economy,11913.0,,,,,False
REC_005428,Data_Train.csv,2019_historical_precovid,2019-05-21,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,18:35,,,,Economy,7006.0,,,,,False
REC_005429,Data_Train.csv,2019_historical_precovid,2019-04-01,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,16:30,,,,Economy,12681.0,,,,,True
REC_005430,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,23:05,,,,Economy,15129.0,,,,,True
REC_005431,Data_Train.csv,2019_historical_precovid,2019-06-15,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,14:00,,,,Economy,13587.0,,,,,False
REC_005432,Data_Train.csv,2019_historical_precovid,2019-06-01,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,19:15,,,,Economy,14714.0,,,,,True
REC_005433,Data_Train.csv,2019_historical_precovid,2019-03-03,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,New Delhi,07:30,,,,Economy,6220.0,,,,,False
REC_005434,Data_Train.csv,2019_historical_precovid,2019-06-06,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,07:05,,,,Economy,10262.0,,,,,True
REC_005435,Data_Train.csv,2019_historical_precovid,2019-05-12,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:25,,,,Economy,8576.0,,,,,False
REC_005436,Data_Train.csv,2019_historical_precovid,2019-03-24,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,19:45,,,,Economy,10031.0,,,,,True
REC_005437,Data_Train.csv,2019_historical_precovid,2019-06-24,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,19:10,,,,Economy,12819.0,,,,,True
REC_005438,Data_Train.csv,2019_historical_precovid,2019-04-15,GoAir,GoAir,,DEL,COK,DEL-COK,Delhi,Cochin,07:25,,,,Economy,5052.0,,,,,True
REC_005439,Data_Train.csv,2019_historical_precovid,2019-03-01,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,New Delhi,08:00,,,,Economy,22270.0,,,,,True
REC_005440,Data_Train.csv,2019_historical_precovid,2019-04-27,Vistara,Vistara,,BLR,DEL,BLR-DEL,Banglore,Delhi,07:00,,,,Economy,5613.0,,,,,False
REC_005441,Data_Train.csv,2019_historical_precovid,2019-04-01,SpiceJet,SpiceJet,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:00,,,,Economy,3873.0,,,,,False
REC_005442,Data_Train.csv,2019_historical_precovid,2019-05-15,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,05:35,,,,Economy,6015.0,,,,,False
REC_005443,Data_Train.csv,2019_historical_precovid,2019-06-09,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,06:30,,,,Economy,10844.0,,,,,True
REC_005444,Data_Train.csv,2019_historical_precovid,2019-05-12,SpiceJet,SpiceJet,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,13:15,,,,Economy,2227.0,,,,,False
REC_005445,Data_Train.csv,2019_historical_precovid,2019-04-01,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,19:50,,,,Economy,7229.0,,,,,True
REC_005446,Data_Train.csv,2019_historical_precovid,2019-06-06,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,05:30,,,,Economy,10368.0,,,,,True
REC_005447,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,17:30,,,,Economy,12898.0,,,,,True
REC_005448,Data_Train.csv,2019_historical_precovid,2019-06-12,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,07:00,,,,Economy,12192.0,,,,,False
REC_005449,Data_Train.csv,2019_historical_precovid,2019-05-09,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:35,,,,Economy,12121.0,,,,,True
REC_005450,Data_Train.csv,2019_historical_precovid,2019-05-27,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,06:50,,,,Economy,16163.0,,,,,False
REC_005451,Data_Train.csv,2019_historical_precovid,2019-03-18,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,New Delhi,05:45,,,,Economy,12284.0,,,,,True
REC_005452,Data_Train.csv,2019_historical_precovid,2019-06-21,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,Delhi,19:30,,,,Economy,5780.0,,,,,False
REC_005453,Data_Train.csv,2019_historical_precovid,2019-05-09,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,10:20,,,,Economy,4995.0,,,,,True
REC_005454,Data_Train.csv,2019_historical_precovid,2019-06-09,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,05:10,,,,Economy,6496.0,,,,,False
REC_005455,Data_Train.csv,2019_historical_precovid,2019-06-12,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,12:20,,,,Economy,12488.0,,,,,False
REC_005456,Data_Train.csv,2019_historical_precovid,2019-05-15,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,Delhi,07:10,,,,Economy,4823.0,,,,,False
REC_005457,Data_Train.csv,2019_historical_precovid,2019-06-18,SpiceJet,SpiceJet,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,05:45,,,,Economy,2647.0,,,,,False
REC_005458,Data_Train.csv,2019_historical_precovid,2019-03-03,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,New Delhi,13:00,,,,Economy,12649.0,,,,,False
REC_005459,Data_Train.csv,2019_historical_precovid,2019-06-12,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,11:40,,,,Economy,8266.0,,,,,False
REC_005460,Data_Train.csv,2019_historical_precovid,2019-05-15,Vistara,Vistara,,DEL,COK,DEL-COK,Delhi,Cochin,06:00,,,,Economy,6216.0,,,,,False
REC_005461,Data_Train.csv,2019_historical_precovid,2019-04-01,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,Delhi,01:30,,,,Economy,4423.0,,,,,False
REC_005462,Data_Train.csv,2019_historical_precovid,2019-03-06,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,New Delhi,08:00,,,,Economy,17996.0,,,,,True
REC_005463,Data_Train.csv,2019_historical_precovid,2019-04-15,SpiceJet,SpiceJet,,DEL,COK,DEL-COK,Delhi,Cochin,08:45,,,,Economy,5726.0,,,,,False
REC_005464,Data_Train.csv,2019_historical_precovid,2019-03-06,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,06:00,,,,Economy,15147.0,,,,,False
REC_005465,Data_Train.csv,2019_historical_precovid,2019-05-18,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,20:55,,,,Economy,15554.0,,,,,True
REC_005466,Data_Train.csv,2019_historical_precovid,2019-06-24,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,23:05,,,,Economy,12819.0,,,,,True
REC_005467,Data_Train.csv,2019_historical_precovid,2019-06-27,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,18:00,,,,Economy,7198.0,,,,,False
REC_005468,Data_Train.csv,2019_historical_precovid,2019-04-03,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,16:00,,,,Economy,5073.0,,,,,False
REC_005469,Data_Train.csv,2019_historical_precovid,2019-06-27,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,Delhi,21:15,,,,Economy,3943.0,,,,,False
REC_005470,Data_Train.csv,2019_historical_precovid,2019-03-27,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,07:10,,,,Economy,3205.0,,,,,True
REC_005471,Data_Train.csv,2019_historical_precovid,2019-05-12,SpiceJet,SpiceJet,,BLR,DEL,BLR-DEL,Banglore,Delhi,05:55,,,,Economy,3257.0,,,,,False
REC_005472,Data_Train.csv,2019_historical_precovid,2019-06-03,IndiGo,IndiGo,,CCU,BLR,CCU-BLR,Kolkata,Banglore,22:15,,,,Economy,4804.0,,,,,False
REC_005473,Data_Train.csv,2019_historical_precovid,2019-03-09,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,New Delhi,16:50,,,,Economy,10231.0,,,,,False
REC_005474,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,20:55,,,,Economy,12898.0,,,,,True
REC_005475,Data_Train.csv,2019_historical_precovid,2019-03-21,IndiGo,IndiGo,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,21:20,,,,Economy,2227.0,,,,,False
REC_005476,Data_Train.csv,2019_historical_precovid,2019-04-01,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,12:00,,,,Economy,9258.0,,,,,False
REC_005477,Data_Train.csv,2019_historical_precovid,2019-05-24,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,16:30,,,,Economy,9663.0,,,,,True
REC_005478,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,07:05,,,,Economy,8040.0,,,,,True
REC_005479,Data_Train.csv,2019_historical_precovid,2019-06-06,GoAir,GoAir,,BLR,DEL,BLR-DEL,Banglore,Delhi,20:55,,,,Economy,3419.0,,,,,True
REC_005480,Data_Train.csv,2019_historical_precovid,2019-06-01,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,07:10,,,,Economy,8016.0,,,,,True
REC_005481,Data_Train.csv,2019_historical_precovid,2019-04-06,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,17:45,,,,Economy,7229.0,,,,,True
REC_005482,Data_Train.csv,2019_historical_precovid,2019-06-06,GoAir,GoAir,,DEL,COK,DEL-COK,Delhi,Cochin,10:35,,,,Economy,4959.0,,,,,True
REC_005483,Data_Train.csv,2019_historical_precovid,2019-06-09,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,12:00,,,,Economy,10151.0,,,,,False
REC_005484,Data_Train.csv,2019_historical_precovid,2019-05-18,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,05:15,,,,Economy,10703.0,,,,,False
REC_005485,Data_Train.csv,2019_historical_precovid,2019-06-09,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,08:25,,,,Economy,10844.0,,,,,True
REC_005486,Data_Train.csv,2019_historical_precovid,2019-03-06,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,16:10,,,,Economy,7205.0,,,,,False
REC_005487,Data_Train.csv,2019_historical_precovid,2019-03-18,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,New Delhi,08:55,,,,Economy,12284.0,,,,,True
REC_005488,Data_Train.csv,2019_historical_precovid,2019-06-09,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:35,,,,Economy,13994.0,,,,,True
REC_005489,Data_Train.csv,2019_historical_precovid,2019-04-15,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,14:25,,,,Economy,6015.0,,,,,False
REC_005490,Data_Train.csv,2019_historical_precovid,2019-04-03,IndiGo,IndiGo,,CCU,BLR,CCU-BLR,Kolkata,Banglore,06:15,,,,Economy,4226.0,,,,,False
REC_005491,Data_Train.csv,2019_historical_precovid,2019-03-21,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,19:10,,,,Economy,9483.0,,,,,True
REC_005492,Data_Train.csv,2019_historical_precovid,2019-05-15,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,07:10,,,,Economy,5198.0,,,,,True
REC_005493,Data_Train.csv,2019_historical_precovid,2019-06-27,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,05:30,,,,Economy,10368.0,,,,,True
REC_005494,Data_Train.csv,2019_historical_precovid,2019-06-03,Vistara,Vistara,,MAA,CCU,MAA-CCU,Chennai,Kolkata,17:45,,,,Economy,11982.0,,,,,False
REC_005495,Data_Train.csv,2019_historical_precovid,2019-03-15,Air India,Air India,,BLR,DEL,BLR-DEL,Banglore,New Delhi,11:50,,,,Economy,8032.0,,,,,False
REC_005496,Data_Train.csv,2019_historical_precovid,2019-05-15,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,14:15,,,,Economy,5510.0,,,,,False
REC_005497,Data_Train.csv,2019_historical_precovid,2019-05-09,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,23:30,,,,Economy,8177.0,,,,,False
REC_005498,Data_Train.csv,2019_historical_precovid,2019-06-01,AirAsia India,Air Asia,,DEL,COK,DEL-COK,Delhi,Cochin,16:45,,,,Economy,11410.0,,,,,False
REC_005499,Data_Train.csv,2019_historical_precovid,2019-03-21,GoAir,GoAir,,DEL,COK,DEL-COK,Delhi,Cochin,07:00,,,,Economy,9385.0,,,,,True
REC_005500,Data_Train.csv,2019_historical_precovid,2019-06-06,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,10:00,,,,Economy,10262.0,,,,,True
REC_005501,Data_Train.csv,2019_historical_precovid,2019-06-18,SpiceJet,SpiceJet,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:00,,,,Economy,3873.0,,,,,False
REC_005502,Data_Train.csv,2019_historical_precovid,2019-03-21,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,11:40,,,,Economy,11999.0,,,,,False
REC_005503,Data_Train.csv,2019_historical_precovid,2019-06-27,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,18:20,,,,Economy,14300.0,,,,,True
REC_005504,Data_Train.csv,2019_historical_precovid,2019-05-12,SpiceJet,SpiceJet,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,13:15,,,,Economy,2175.0,,,,,False
REC_005505,Data_Train.csv,2019_historical_precovid,2019-05-09,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,06:50,,,,Economy,14431.0,,,,,False
REC_005506,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,06:00,,,,Economy,7229.0,,,,,True
REC_005507,Data_Train.csv,2019_historical_precovid,2019-05-24,IndiGo,IndiGo,,CCU,BLR,CCU-BLR,Kolkata,Banglore,19:20,,,,Economy,3809.0,,,,,False
REC_005508,Data_Train.csv,2019_historical_precovid,2019-06-24,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,07:30,,,,Economy,7354.0,,,,,False
REC_005509,Data_Train.csv,2019_historical_precovid,2019-03-27,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,08:00,,,,Economy,12537.0,,,,,False
REC_005510,Data_Train.csv,2019_historical_precovid,2019-05-27,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,13:00,,,,Economy,9719.0,,,,,False
REC_005511,Data_Train.csv,2019_historical_precovid,2019-05-24,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,10:20,,,,Economy,8040.0,,,,,True
REC_005512,Data_Train.csv,2019_historical_precovid,2019-05-24,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,07:05,,,,Economy,4995.0,,,,,True
REC_005513,Data_Train.csv,2019_historical_precovid,2019-04-06,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,Delhi,23:30,,,,Economy,4591.0,,,,,False
REC_005514,Data_Train.csv,2019_historical_precovid,2019-06-06,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,16:45,,,,Economy,7662.0,,,,,False
REC_005515,Data_Train.csv,2019_historical_precovid,2019-06-24,IndiGo,IndiGo,,MAA,CCU,MAA-CCU,Chennai,Kolkata,07:55,,,,Economy,3850.0,,,,,False
REC_005516,Data_Train.csv,2019_historical_precovid,2019-06-03,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,08:35,,,,Economy,6442.0,,,,,False
REC_005517,Data_Train.csv,2019_historical_precovid,2019-06-03,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,23:30,,,,Economy,11378.0,,,,,False
REC_005518,Data_Train.csv,2019_historical_precovid,2019-06-27,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,15:00,,,,Economy,13377.0,,,,,False
REC_005519,Data_Train.csv,2019_historical_precovid,2019-05-21,Jet Airways,Jet Airways,,CCU,BLR,CCU-BLR,Kolkata,Banglore,08:25,,,,Economy,10844.0,,,,,True
REC_005520,Data_Train.csv,2019_historical_precovid,2019-05-09,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,07:05,,,,Economy,4995.0,,,,,True
REC_005521,Data_Train.csv,2019_historical_precovid,2019-03-27,Air India,Air India,,DEL,COK,DEL-COK,Delhi,Cochin,17:15,,,,Economy,6057.0,,,,,False
REC_005522,Data_Train.csv,2019_historical_precovid,2019-04-06,Air India,Air India,,BLR,DEL,BLR-DEL,Banglore,Delhi,10:00,,,,Economy,5176.0,,,,,False
REC_005523,Data_Train.csv,2019_historical_precovid,2019-06-09,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,09:40,,,,Economy,13014.0,,,,,True
REC_005524,Data_Train.csv,2019_historical_precovid,2019-03-01,IndiGo,IndiGo,,BLR,DEL,BLR-DEL,Banglore,New Delhi,16:15,,,,Economy,7917.0,,,,,False
REC_005525,Data_Train.csv,2019_historical_precovid,2019-06-09,SpiceJet,SpiceJet,,DEL,COK,DEL-COK,Delhi,Cochin,06:05,,,,Economy,5583.0,,,,,False
REC_005526,Data_Train.csv,2019_historical_precovid,2019-04-09,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,06:00,,,,Economy,7229.0,,,,,True
REC_005527,Data_Train.csv,2019_historical_precovid,2019-05-18,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,16:00,,,,Economy,7191.0,,,,,False
REC_005528,Data_Train.csv,2019_historical_precovid,2019-06-12,Jet Airways,Jet Airways,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,19:35,,,,Economy,3210.0,,,,,True
REC_005529,Data_Train.csv,2019_historical_precovid,2019-03-06,IndiGo,IndiGo,,DEL,COK,DEL-COK,Delhi,Cochin,15:00,,,,Economy,14871.0,,,,,False
REC_005530,Data_Train.csv,2019_historical_precovid,2019-05-15,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,08:30,,,,Economy,8099.0,,,,,False
REC_005531,Data_Train.csv,2019_historical_precovid,2019-05-21,Air India,Air India,,CCU,BLR,CCU-BLR,Kolkata,Banglore,09:25,,,,Economy,8366.0,,,,,False
REC_005532,Data_Train.csv,2019_historical_precovid,2019-03-09,IndiGo,IndiGo,,MAA,CCU,MAA-CCU,Chennai,Kolkata,22:05,,,,Economy,6297.0,,,,,False
REC_005533,Data_Train.csv,2019_historical_precovid,2019-03-03,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,13:00,,,,Economy,18286.0,,,,,False
REC_005534,Data_Train.csv,2019_historical_precovid,2019-03-06,Jet Airways,Jet Airways,,DEL,COK,DEL-COK,Delhi,Cochin,23:05,,,,Economy,17024.0,,,,,True
REC_005535,Data_Train.csv,2019_historical_precovid,2019-04-24,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,07:10,,,,Economy,6144.0,,,,,True
REC_005536,Data_Train.csv,2019_historical_precovid,2019-03-09,Multiple Carriers,Multiple carriers,,DEL,COK,DEL-COK,Delhi,Cochin,06:00,,,,Economy,13941.0,,,,,False
REC_005537,Data_Train.csv,2019_historical_precovid,2019-05-09,Jet Airways,Jet Airways,,BLR,DEL,BLR-DEL,Banglore,Delhi,18:55,,,,Economy,3702.0,,,,,True
REC_005538,Data_Train.csv,2019_historical_precovid,2019-05-15,SpiceJet,SpiceJet,,DEL,COK,DEL-COK,Delhi,Cochin,06:05,,,,Economy,5583.0,,,,,False
REC_005539,Data_Train.csv,2019_historical_precovid,2019-03-12,Air India,Air India,,BOM,HYD,BOM-HYD,Mumbai,Hyderabad,19:40,,,,Economy,10208.0,,,,,False
